key	Exposure	EWAS	Citation	title	Demographics	Sample size (discovery)	Sample size calc	Quality control	Confounder correction	blood cell correction	DNAm measuring technique	environment collection	replication attempt	classifier prediction tested	Meta-analysis	Notes
rayyan-1000417720	Air pollution	Particle elements (Pb)	(Wang et al., 2022)	Short- and intermediate-term exposure to ambient fine particulate elements and leukocyte epigenome-wide DNA methylation in older men: the Normative Aging Study.	+	1266	-	+	+	+	+	+	-	NA	-	No socioeconomic status
rayyan-1000417284	Air pollution	NO2	(Lee et al., 2019)	Genome-wide DNA methylation and long-term ambient air pollution exposure in Korean adults.	+/-	100	-	+/-	+/-	+	+	+	+/-	NA	-	no alcohol, socioeconomic status and education; No filtering on samples, only on probes
rayyan-1000417501	Air pollution	heavy vehicular traffic	(Commodore et al., 2019)	Frequency of heavy vehicle traffic and association with DNA methylation at age 18 years in a subset of the Isle of Wight birth cohort.	+/-	369	-	-	+/-	+	+	+	+	NA	-	No ethnicity, education and alcohol; no sex mismatch, outlier and sample QC and no correction for probes binding multiple regions.
rayyan-1000417375	Air pollution	PM(2.5)	(Xu et al., 2023)	Wildfire-related PM(2.5) and DNA methylation: An Australian twin and family study.	+/-	479	-	+/-	+/-	+	+	+	-	NA	-	No BMI (height and weight); missing outlier and sample QC; no ethnicity confounder
rayyan-1000417268	Air pollution	PM(2.5)	(Mu et al., 2023)	PM(2.5)-related DNA methylation and the association with lung function in non-smokers.	+	402	-	+	+/-	+	+	+	-	NA	-	No education confounder correction
rayyan-1000428493	Air pollution	NO2	(Lichtenfels et al., 2018)	Long-term Air Pollution Exposure, Genome-wide DNA Methylation and Lung        Function in the LifeLines Cohort Study	+/-	1017	-	+/-	+/-	+	+	+	+	NA	-	No alcohol and education; no outlier QC
rayyan-1000417516	Air pollution	O3	(Holliday et al., 2022)	Gaseous air pollutants and DNA methylation in a methylome-wide association study of an ethnically and environmentally diverse population of U.S. adults.	+	8397	-	+/-	+	+	+	+	+	NA	+	no correction for probes binding multiple regions.
rayyan-1000417372	Air pollution	PM(10)	(Gondalia et al., 2019)	Methylome-wide association study provides evidence of particulate matter air pollution-associated DNA methylation.	+	8397	-	+	+	+	+	+	+	NA	+	NA
rayyan-1000428609	Air pollution	PM(2.5)	(Eze et al., 2020)	Genome-Wide DNA Methylation in Peripheral Blood and Long-Term Exposure        to Source -Specific Transportation Noise and Air Pollution: The SAPALDIA        Study	+/-	1389	-	+	+/-	+	+	+	+/-	NA	-	No ethnicity
rayyan-1000417353	Alcohol	Number of alcoholic drinks	(Wilson et al., 2019)	Alcohol and DNA Methylation: An Epigenome-Wide Association Study in Blood and Normal Breast Tissue.	+/-	2878	-	+	+/-	+	+	+	+	NA	-	No socioeconomic status and education
rayyan-1000428336	Alcohol	Alcohol consumption	(Lohoff et al., 2022)	Epigenome-wide association study of alcohol consumption in N=8161        individuals and relevance to alcohol use disorder pathophysiology:        identification of the cystine/glutamate transporter SLC7A11 as a top        target	+/-	8161	-	+/-	+/-	+	+	+	+	+	-	No correction for probes binding SNPs and no correction for probes binding multiple regions
rayyan-1000428545	Alcohol	Alcohol consumption	(Dugue et al., 2021)	Alcohol consumption is associated with widespread changes in blood DNA        methylation: Analysis of cross-sectional and longitudinal data	+/-	5606	-	+/-	+/-	+	+	+	+	NA	-	No education; No outlier, no correction for probes binding SNPs or probes binding multiple regions
rayyan-1000417257	Alcohol	Alcohol intake (European ancestry)	(Liu et al., 2018)	A DNA methylation biomarker of alcohol consumption.	+/-	13317	-	+	+/-	+	+	+	+	+	+	No education; meta-analysis: some cohorts determined alcohol by questionaire, others by interviews, but it is consistent within cohorts;
rayyan-1000428500	Alcohol	phosphatidylethanol (PEth)	(Liang et al., 2021)	DNA methylation signature on phosphatidylethanol, not on self-reported        alcohol consumption, predicts hazardous alcohol consumption in two        distinct populations	+/-	580	-	-	+/-	+	+	+	+/-	+	-	No BMI and education; no outlier, sample-level and probe-level QC, no correction for probes binding multiple regions
rayyan-1000417515	Alcohol	Number of alcoholic drinks	(Stephenson et al., 2021)	Associations of Alcohol Consumption With Epigenome-Wide DNA Methylation and Epigenetic Age Acceleration: Individual-Level and Co-twin Comparison Analyses.	+/-	1004	-	+/-	+/-	+	+	+	+/-	NA	-	No education and alcohol intake; no sex mismatch and outlier QC
rayyan-1000428441	Alcohol	Alcohol consumption	(Langdon et al., 2020)	Identifying epigenetic biomarkers of established prognostic factors and        survival in a clinical cohort of individuals with oropharyngeal cancer	+/-	409	-	+/-	+/-	-	+	+	+/-	NA	-	No BMI and ethnicity; no probe level QC?
rayyan-1000417534	Cancer	alkylating agents	(Song et al., 2021)	Persistent variations of blood DNA methylation associated with treatment exposures and risk for cardiometabolic outcomes in long-term survivors of childhood cancer in the St. Jude Lifetime Cohort.	-	2052	-	+/-	+/-	+	+	+	-	NA	-	No socioeconomic status, education, alcohol intake, smoking; no sex mismatch and outlier QC
rayyan-1000428266	Cancer	Chemotherapy (5-FU)	(Lemire et al., 2015)	The effect of 5-fluorouracil/leucovorin chemotherapy on CpG methylation,        or the confounding role of leukocyte heterogeneity: An illustration	+/-	577	-	+	+/-	+	+	+	-	NA	-	No BMI and education, only non-hispanic whites allowed
rayyan-1000417745	Cannabis	problematic adolescent cannabis use	(Clark et al., 2021)	Methylomic Investigation of Problematic Adolescent Cannabis Use and Its Negative Mental Health Consequences.	-	703	-	+/-	+/-	+	+	+	-	NA	-	No education, alcohol intake and BMI; QC seems quite good, but different sequencing technique was used so the quality control checks don't apply here
rayyan-1000417269	Cannabis	lifetime cannabis use (ever vs. never)	(Markunas et al., 2021)	Epigenome-wide analysis uncovers a blood-based DNA methylation biomarker of lifetime cannabis use.	+/-	1730	-	+	+/-	+	+	+	+	+	-	No education and BMI; No alcohol intake and BMI
rayyan-1000428216	Carcinogens	Benzene	(Phillips et al., 2022)	Epigenome-wide association studies of occupational exposure to benzene        and formaldehyde	+/-	98	-	+/-	+/-	+	+	+	-	NA	-	No socioeconomic status, education; no sex mismatch QC
