key	Citation	title	Demographics	Sample size (discovery)	Sample size calc	Quality control	Confounder correction	blood cell correction	DNAm measuring technique	environment collection	replication attempt	classifier prediction tested	Meta-analysis	Notes	Confounders adjusted
rayyan-1000417246	(Jeong et al., 2022)	Residential greenness-related DNA methylation changes.	+/-	982	-	+	+/-	+	+	+	-	NA	-	No alcohol intake and BMI	"These included age (years), sex (male/female), study area (Basel/Wald/Davos/Lugano/Montana/Payerne/Aarau/Geneva), education level (primary school (�low�); secondary/middle school or apprenticeship (�middle�); college or university (�high�)), neighborhood index of socio-economic position (SEP) (%) (derived from a principal component analysis of education, occupation, and housing variables from Switzerland census in 2000 (Panczak et al. 2012)), smoking status (never/former/current), pack-years smoked (calculated from self-reported information on cigarettes smoked per day and smoking history), second-hand smoke exposure (yes/no), residential exposure to�particulate matter�with aerodynamic diameter�<�2.5�?m (PM2.5) (annual mean exposure derived from PolluMap, national air pollution dispersion models for Switzerland in 2000 and 2010 (FOEN 2013)), residential exposure to�nitrogen dioxide�(NO2) (annual mean exposure derived from land use regression models in 2000 (Liu et al. 2012) and biennial mean exposure derived from land use regression models in 2010�2011 (Eeftens et al. 2016)), residential exposure to transportation noise (annual average day-evening-night noise from aircraft, railway, or road traffic (Karipidis et al. 2014)), and�season�of the blood draw (Spring/Summer/Autumn/Winter). In addition, leukocyte composition (B cells, CD4+ T cells, CD8+ T cells,�monocytes, natural killer cells,�neutrophils, and eosinophils) estimated from DNA methylation using �estimateCellcounts� function implemented in the �minfi� package (Aryee et al. 2014) was included to prevent EWAS findings from capturing leukocyte composition changes instead of greenness-induced DNA methylation changes."
rayyan-1000417251	(Xu et al., 2021)	Residential surrounding greenness and DNA methylation: An epigenome-wide association study.	+/-	479	-	+/-	+/-	+	+	+	-	NA	-	No alcohol intake and BMI	The models adjusted for age, educational level, marital status, area-level socioeconomic status, smoking behavior, cell-type proportions and familial clustering
rayyan-1000417257	(Liu et al., 2018)	A DNA methylation biomarker of alcohol consumption.	+/-	13317	-	+	+/-	+	+	+	+	+	+	"No education; meta-analysis: some cohorts determined alcohol by questionaire, others by interviews, but it is consistent within cohorts;"	Because it has been shown that many CpG sites are significantly associated with age,�sex�and BMI,�these three variables were adjusted for in EWAS analysis. Furthermore, it has been known that DNA methylation profiling is susceptible to batch effects�and by white cell composition in whole blood.�Thus, �batch effects� and �white cell blood counts� were adjusted for to minimize confounding effects that may result in spurious association. To account for batch effects, �lab�, �experiment date�, �plate�, �row� and �column� were adjusted for in the analyses. The measured or imputed�white blood cell counts for CD4 cells, CD8 cells, natural killer cells, B cells and monocytes were adjusted for in the analyses. Surrogate variables (to account for unknown confounders)�or principal components (estimated from genotypes to account for population stratification) were included in the EWAS model when applicable (pp 10, 11 and 15 of Description of study samples in�Supplementary Information).
rayyan-1000417268	(Mu et al., 2023)	PM(2.5)-related DNA methylation and the association with lung function in non-smokers.	+	402	-	+	+/-	+	+	+	-	NA	-	No education confounder correction	Associations between DNA methylation levels and PM2.5�concentrations were investigated by linear mixed models with subject-specific random intercept, adjusted for age, gender, BMI, passive smoking (yes/no), drinking status (current/former/never), visit year, blood cell proportions (CD8T, CD4T, NK cells, B cells and monocytes), batch (plate number and array).
rayyan-1000417269	(Markunas et al., 2021)	Epigenome-wide analysis uncovers a blood-based DNA methylation biomarker of lifetime cannabis use.	+/-	1730	-	+	+/-	+	+	+	+	+	-	"No education and BMI; No alcohol intake and BMI"	adjusting for age (continuous), incident breast cancer status (event, non-event), tobacco smoking (never, former, current), alcohol use (noncurrent, current), laboratory plate, DNA extraction method, six control SVs, and six blood cell type proportions.
rayyan-1000417272	(Xu et al., 2021)	Ambient temperature and genome-wide DNA methylation: A twin and family study in Australia.	+	479	-	+/-	+	+	+	+	-	NA	-	No filtering on samples, only on probes	The�Xij�represents a set of covariates, including relative humidity during the same exposure window, age, educational level, smoking behaviour, alcohol use, BMI, season, survey year, and cell-type proportions.
rayyan-1000417284	(Lee et al., 2019)	Genome-wide DNA methylation and long-term ambient air pollution exposure in Korean adults.	+/-	100	-	+/-	+/-	+	+	+	+/-	NA	-	"no alcohol, socioeconomic status and education; No filtering on samples, only on probes"	Covariates included were age (years), sex (male, female), cigarette smoking (never, former, current), pack-years of smoking, BMI (kg/m2), COPD status (cases, noncases), and estimated cell-type proportions.
rayyan-1000417286	(Liu et al., 2019)	Longitudinal analysis of epigenome-wide DNA methylation reveals novel smoking-related loci in African Americans.	+/-	380	-	+	+/-	+	-	+	+/-	NA	-	No socioeconomic status and education, different methylation measuring devices	"For subject�i�(i=1, �, N) and Phase�j�(j�=�1, 2),�Mij�is the methylation M value for the�Mijth�subject at Phase�j;�i�is a binary indicator for current or ever smoker at Phase 1;�Tij�is the time (in decades) elapsed since Phase 1, and�Tij=�0 for Phase 1 measures;�agei�is the age (in years) at Phase 1;�(cell�proportions)ij�includes the percentages of CD4�T-cells, CD8�T-cells, NK-cells, B-cells, and monocytes estimated at each phase.�?S�reflects the cross-sectional difference in Phase 1 methylation level across smoking groups.�?T�reflects the rate of change (change in M value per decade) in methylation for never smokers.�?ST�reflects the difference in rate of methylation change across smoking groups. To examine the smoking effect on rate of methylation change, tested the null hypothesis�H0:�?ST=0�versus�H1:�?ST?0. False Discovery Rate (FDR) [66] was used to correct for multiple testing across the epigenome, and an FDR q value<0.1 was considered significant. For significant associations, a model further controlling for hypertension, and a fully adjusted model including hypertension, diabetes, BMI, and alcohol consumption were used to assess potential confounding. We also conducted a sensitivity analysis for significant CpGs by re-running the GEE model after excluding the 25 participants whose smoking status changed between time points."
rayyan-1000417344	(Dugue et al., 2020)	Smoking and blood DNA methylation: an epigenome-wide association study and assessment of reversibility.	+/-	5044	-	+	+/-	+	+	+	+/-	NA	-	No socioeconomic status and education	Models were adjusted by fitting fixed effects for baseline values of age (continuous), country of birth (Australia/New-Zealand, Italy, Greece, United Kingdom/Malta), sex, alcohol drinking in the previous week (continuous, in grams/day), BMI (?25 kg/m2, >25 to ?30, >30 to ?35, >35), sample type (peripheral blood mononuclear cells, dried blood spots, buffy coats) and estimated white blood cell composition (percentage of CD4�+�T cells, CD8�+�T cells, B cells, NK cells, monocytes and granulocytes, estimated using the Houseman algorithm [22,23]), and random effects for study, plate, and chip. Although we did not remove outliers for the methylation or smoking variables from our dataset, we tested the influence of these using robust regression models and results were similar (not shown).
rayyan-1000417351	(Do et al., 2021)	Epigenome-wide association study of diet quality in the Women's Health Initiative and TwinsUK cohort.	+/-	4355	+	+	+/-	+	+	+	+	NA	+	No socioeconomic status (but income is reported) and education	Covariates in all analyses included chip location, estimated cell type proportions, the top three principal components of genetic relatedness (when available), body mass index (BMI), smoking status, age and race/ethnicity, with a random effect for chip number. Significant sites were tested for replication in the TwinsUK cohort using generalized linear regression adjusting for cell composition, age, smoking and BMI as fixed effects, with random effects for chip number and location, genetic relatedness and zygosity.
rayyan-1000417353	(Wilson et al., 2019)	Alcohol and DNA Methylation: An Epigenome-Wide Association Study in Blood and Normal Breast Tissue.	+/-	2878	-	+	+/-	+	+	+	+	NA	-	No socioeconomic status and education	We adjusted for the following variables in the robust linear regression model: age at blood draw, breast cancer case status, smoking status, body mass index, and surrogate variables derived from array nonnegative control probe data. All association tests were adjusted for the proportions of white blood cell types, estimated using a method described by Houseman et al. (22,�23).�
rayyan-1000417356	(Zhang, Florath, Saum, & Brenner, 2016)	Self-reported smoking, serum cotinine, and blood DNA methylation.	+/-	1000	-	-	+/-	+	+	+	+	+	-	"No socioeconomic status, education, alcohol intake; no outlier, sex mismatch or sample-based QC"	Age, sex, smoking status, BMI, Physical activity, Diabetes, Cardiovascular disease, Cancer
rayyan-1000417358	(Walker et al., 2019)	Assessment of dried blood spots for DNA methylation profiling.	+	62	-	+	+/-	+	+	+	+/-	NA	-		Age, sex, slide ID, row number, blood cell proportions
rayyan-1000417361	(Lu et al., 2020)	An epigenome-wide association study identifies multiple DNA methylation markers of exposure to endocrine disruptors.	-	622	-	+/-	+/-	+	+	+	+/-	NA	-	"No socioeconomic status, education, alcohol intake, smoking; no sex mismatch QC"	age, sex, body mass index (BMI), measured�blood cell counts, array number, and position on the array
rayyan-1000417369	(Wang et al., 2023)	Epigenome-wide DNA methylation in leukocytes and toenail metals: The normative aging study.	+	564	-	+	+	+	+	+	-	NA	-	No socioeconomic status	age, sex (only men in study), ethnicity (only whites in study), years of education, smoking status, cigarette pack-years, alcohol consumption, body mass index, season, the estimated cell-type compositions, technical factors . For Hg, we additionally adjusted for dark-meat fish, shellfish, canned tuna, and other fish intake
