Exposure	EWAS	Mean	SD	Median	IQR	Max	Min
Air pollution	33	300.06060606060606	754.7570776164482	12	163	3173	0
Alcohol	9	1109	1842.3614601917834	165	1390	5460	0
Cancer	12	155.66666666666666	154.949454124025	136	277.5	421	0
Cannabis	2	23	31.11269837220809	23	22	45	1
Carcinogens	2	11	15.556349186104045	11	11	22	0
Chromium	1	5	NA	5	0	5	5
Diet	17	30.58823529411765	102.5683057915123	4	10	428	0
Dioxins	4	2.5	3.1091263510296048	1.5	2.5	7	0
Endocrine disruptors	2	2	1.4142135623730951	2	1	3	1
Greenness	3	0.3333333333333333	0.5773502691896257	0	0.5	1	0
Heavy metals	9	24.22222222222222	32.21326503855895	6	16	87	1
Opioids	1	3	NA	3	0	3	3
Other	7	399.7142857142857	699.0209139183448	38	381	1890	2
POPs	4	338.25	671.1772617324477	4	342.25	1345	0
Pesticides	18	10.555555555555555	19.743121578747434	1	6	72	0
Smoking	20	343.8	1003.47866523357	52.5	68.25	4496	3
Temperature	2	22.5	12.020815280171307	22.5	8.5	31	14
micronutrients	3	2.6666666666666665	3.0550504633038935	2	3	6	0
