Exposure	EWAS	Mean	SD	Median	IQR	Max	Min
Air pollution	22	2935.181818181818	4083.574993467455	679	4305.25	12776	8
Alcohol	3	265.6666666666667	250.9986719752384	221	248	536	40
Chromium	1	1	NA	1	0	1	1
Dioxins	1	1	NA	1	0	1	1
Greenness	3	84.66666666666667	68.64643714959527	56	64	163	35
Heavy metals	8	10.625	14.908650413194923	5.5	11	45	1
Other	4	23.25	29.341381471680343	15.5	37.25	62	0
Pesticides	1	4	NA	4	0	4	4
Smoking	2	126.5	55.86143571373726	126.5	39.5	166	87
Temperature	2	76	8.48528137423857	76	6	82	70
micronutrients	3	61	27.874719729532707	74	25.5	80	29
