key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-1000417246,Residential greenness-related DNA methylation changes.,2022,1,,Environment international,1873-6750 (Electronic),158,,106945,Jeong A and Eze IC and Vienneau D and de Hoogh K and Keidel D and Rothe T and Burdet L and Holloway JW and Jarvis D and Kronenberg F and Lovison G and Imboden M and Probst-Hensch N,https://pubmed.ncbi.nlm.nih.gov/34689037/,eng,,Netherlands,"BACKGROUND: Residential greenness has been associated with health benefits, but its biological mechanism is largely unknown. Investigation of greenness-related DNA methylation profiles can contribute to mechanistic understanding of the health benefits of residential greenness. OBJECTIVE: To identify DNA methylation profiles associated with greenness in the immediate surroundings of the residence. METHODS: We analyzed genome-wide DNA methylation in 1938 blood samples (982 participants) from the Swiss Cohort Study on Air Pollution and Lung and Heart Diseases in Adults (SAPALDIA). We estimated residential greenness based on normalized difference vegetation index at 30 × 30 m cell (green30) and 500 m buffer (green500) around the residential address. We conducted epigenome-wide association study (EWAS) to identify differentially methylated CpGs and regions, and enrichment tests by comparing to the CpGs that previous EWAS identified as associated with allergy, physical activity, and allostatic load-relevant biomarkers. RESULTS: We identified no genome-wide significant CpGs, but 163 and 56 differentially methylated regions for green30 and green500, respectively. Green30-related DNA methylation profiles showed enrichments in allergy, physical activity, and allostatic load, while green500-related methylation was enriched in allergy and allostatic load. CONCLUSIONS: Residential greenness may have health impacts through allergic sensitization, stress coping, or behavioral changes. Exposure to more proximal greenness may be more health-relevant.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: greeness",10.1016/j.envint.2021.106945,"*Air Pollution;Cohort Studies;DNA;*DNA Methylation;Epigenome;Humans;DNA (Cytosine-5-)-Methyltransferase;DNA-(Apurinic or Apyrimidinic Site) Lyase;DNA, B-Form;DNA, A-Form;Methylation",34689037,
rayyan-1000417251,Residential surrounding greenness and DNA methylation: An epigenome-wide association study.,2021,9,,Environment international,1873-6750 (Electronic),154,,106556,Xu R and Li S and Li S and Wong EM and Southey MC and Hopper JL and Abramson MJ and Guo Y,https://pubmed.ncbi.nlm.nih.gov/33862401/,eng,,Netherlands,"BACKGROUND: DNA methylation is a potential biological mechanism through which residential greenness affects health, but little is known about its association with greenness and whether the association could be modified by genetic background. We aimed to evaluate the association between surrounding greenness and genome-wide DNA methylation and potential gene-greenness interaction effects on DNA methylation. METHODS: We measured blood-derived DNA methylation using the HumanMethylation450 BeadChip array (Illumina) for 479 Australian women, including 66 monozygotic, 66 dizygotic twin pairs, and 215 sisters of these twins. Surrounding greenness was represented by Normalized Difference Vegetation Index (NDVI) and Enhanced Vegetation Index (EVI) within 300, 500, 1000 or 2000 m surrounding participants' home addresses. For each cytosine-guanine dinucleotide (CpG), the associations between its methylation level and NDVI or EVI were evaluated by generalized estimating equations, after adjusting for age, education, marital status, area-level socioeconomic status, smoking behavior, cell-type proportions, and familial clustering. We used comb-p and DMRcate to identify significant differentially methylated regions (DMRs). For each significant CpG, we evaluated the interaction effects of greenness and single-nucleotide polymorphisms (SNPs) within ±1 Mb window on its methylation level. RESULTS: We found associations between surrounding greenness and blood DNA methylation for one CpG (cg04720477, mapped to the promoter region of CNP gene) with false discovery rate [FDR] < 0.05, and for another 9 CpGs with 0.05 ≤ FDR < 0.10. For two of these CpGs, we found 33 SNPs significantly (FDR < 0.05) modified the greenness-methylation association. There were 35 significant DMRs related to surrounding greenness that were identified by both comb-p (Sidak p-value < 0.01) and DMRcate (FDR < 0.01). Those CpGs and DMRs were mapped to genes related to many human diseases, such as mental health disorders and neoplasms as well as nutritional and metabolic diseases. CONCLUSIONS: Surrounding greenness was associated with blood DNA methylation of many loci across human genome, and this association could be modified by genetic variations.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: greeness",10.1016/j.envint.2021.106556,"Australia;*DNA Methylation;Epigenesis, Genetic;*Epigenome;Female;Genome-Wide Association Study;High-Throughput Nucleotide Sequencing;Humans;Smoking;DNA (Cytosine-5-)-Methyltransferase;DNA, B-Form;DNA, A-Form;DNA-(Apurinic or Apyrimidinic Site) Lyase;Methylation",33862401,
rayyan-1000417257,A DNA methylation biomarker of alcohol consumption.,2018,2,,Molecular psychiatry,1476-5578 (Electronic),23,2,422-433,Liu C and Marioni RE and Hedman ÅK and Pfeiffer L and Tsai PC and Reynolds LM and Just AC and Duan Q and Boer CG and Tanaka T and Elks CE and Aslibekyan S and Brody JA and Kühnel B and Herder C and Almli LM and Zhi D and Wang Y and Huan T and Yao C and Mendelson MM and Joehanes R and Liang L and Love SA and Guan W and Shah S and McRae AF and Kretschmer A and Prokisch H and Strauch K and Peters A and Visscher PM and Wray NR and Guo X and Wiggins KL and Smith AK and Binder EB and Ressler KJ and Irvin MR and Absher DM and Hernandez D and Ferrucci L and Bandinelli S and Lohman K and Ding J and Trevisi L and Gustafsson S and Sandling JH and Stolk L and Uitterlinden AG and Yet I and Castillo-Fernandez JE and Spector TD and Schwartz JD and Vokonas P and Lind L and Li Y and Fornage M and Arnett DK and Wareham NJ and Sotoodehnia N and Ong KK and van Meurs JBJ and Conneely KN and Baccarelli AA and Deary IJ and Bell JT and North KE and Liu Y and Waldenberger M and London SJ and Ingelsson E and Levy D,https://pubmed.ncbi.nlm.nih.gov/27843151/,eng,,England,"The lack of reliable measures of alcohol intake is a major obstacle to the diagnosis and treatment of alcohol-related diseases. Epigenetic modifications such as DNA methylation may provide novel biomarkers of alcohol use. To examine this possibility, we performed an epigenome-wide association study of methylation of cytosine-phosphate-guanine dinucleotide (CpG) sites in relation to alcohol intake in 13 population-based cohorts (n(total)=13 317; 54% women; mean age across cohorts 42-76 years) using whole blood (9643 European and 2423 African ancestries) or monocyte-derived DNA (588 European, 263 African and 400 Hispanic ancestry) samples. We performed meta-analysis and variable selection in whole-blood samples of people of European ancestry (n=6926) and identified 144 CpGs that provided substantial discrimination (area under the curve=0.90-0.99) for current heavy alcohol intake (⩾42 g per day in men and ⩾28 g per day in women) in four replication cohorts. The ancestry-stratified meta-analysis in whole blood identified 328 (9643 European ancestry samples) and 165 (2423 African ancestry samples) alcohol-related CpGs at Bonferroni-adjusted P<1 × 10(-7). Analysis of the monocyte-derived DNA (n=1251) identified 62 alcohol-related CpGs at P<1 × 10(-7). In whole-blood samples of people of European ancestry, we detected differential methylation in two neurotransmitter receptor genes, the γ-Aminobutyric acid-A receptor delta and γ-aminobutyric acid B receptor subunit 1; their differential methylation was associated with expression levels of a number of genes involved in immune function. In conclusion, we have identified a robust alcohol-related DNA methylation signature and shown the potential utility of DNA methylation as a clinically useful diagnostic test to detect current heavy alcohol consumption.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: PMS,alcohol,Meta-analysis",10.1038/mp.2016.192,"Adult;Aged;Alcohol Drinking/*genetics/metabolism;Alcohol-Related Disorders/*genetics/metabolism;Biomarkers/blood;Black People/genetics;CpG Islands/genetics;DNA Methylation/*drug effects;Epigenesis, Genetic;Ethanol/blood/metabolism;Female;Genome-Wide Association Study;Humans;Male;Middle Aged;White People/genetics;DNA (Cytosine-5-)-Methyltransferase;Alcohol Drinking;Alcoholics;Methylation;DNA, A-Form;DNA, B-Form;DNA",27843151,PMC5575985
rayyan-1000417268,PM(2.5)-related DNA methylation and the association with lung function in non-smokers.,2023,1,1,"Environmental pollution (Barking, Essex : 1987)",1873-6424 (Electronic),316,,120700,Mu G and Nie X and Yang S and Ye Z and Cheng M and Fan L and Qiu W and Tan Q and Zhou M and Guo Y and Chen W,https://pubmed.ncbi.nlm.nih.gov/36403874/,eng,,England,"PM(2.5) exposure leads to lung function alteration. The potential pathway underlying above association, especially the role of DNA methylation is unclear. The objectives of this study are to evaluate the associations of personal PM(2.5) concentrations with DNA methylation at the epigenome-wide level, and investigate how PM(2.5)-related DNA methylation affects lung function. A total of 402 observations of non-smokers were selected from the Wuhan-Zhuhai cohort. PM(2.5) exposure was estimated through a model established in the same population. Blood DNA methylation levels were determined through Illumina Infinium MethylationEPIC BeadChips. Lung function was tested through spirometry on the day of blood sampling. The associations of PM(2.5) exposure with DNA methylation and DNA methylation with lung function were determined through linear mixed models. Ten PM(2.5)-related CpG sites (mapped to 7 different genes) were observed with false discovery rate <0.05. Methylation levels of cg24821877, cg24862131, cg23530876, cg11149743 and cg10781276 were positively associated with PM(2.5) concentrations. While methylation levels of cg10314909, cg08968107, cg18362281, cg24663971 and cg17834632 were negatively associated with PM(2.5) concentrations. The top CpG was cg24663971 (P = 1.51✕10(-9)). Among the above 10 sites, significantly positive associations of methylation levels of cg24663971 with FVC%pred and FEV(1)%pred, and cg10314909 with FVC, FVC%pred, and FEV(1)%pred were observed. Age had modification effect on the associations between cg24663971 methylation and FVC%pred, and the associations were more obvious among participants with age ≥58 years. In conclusion, PM(2.5) exposure was associated with DNA methylation, and PM(2.5)-related DNA methylation was associated with lung function among Wuhan urban non-smokers.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: air pollution",10.1016/j.envpol.2022.120700,"Humans;*Particulate Matter/toxicity/analysis;DNA Methylation;Non-Smokers;Respiratory Function Tests;Lung/chemistry;*Air Pollutants/toxicity/analysis;Environmental Exposure/analysis;DNA (Cytosine-5-)-Methyltransferase;Lung;DNA-(Apurinic or Apyrimidinic Site) Lyase;Methylation;DNA, B-Form;DNA, A-Form",36403874,
rayyan-1000417269,Epigenome-wide analysis uncovers a blood-based DNA methylation biomarker of lifetime cannabis use.,2021,4,,"American journal of medical genetics. Part B, Neuropsychiatric genetics : the           official publication of the International Society of Psychiatric Genetics",1552-485X (Electronic),186,3,173-182,Markunas CA and Hancock DB and Xu Z and Quach BC and Fang F and Sandler DP and Johnson EO and Taylor JA,https://pubmed.ncbi.nlm.nih.gov/32803843/,eng,,United States,"Cannabis use is highly prevalent and is associated with adverse and beneficial effects. To better understand the full spectrum of health consequences, biomarkers that accurately classify cannabis use are needed. DNA methylation (DNAm) is an excellent candidate, yet no blood-based epigenome-wide association studies (EWAS) in humans exist. We conducted an EWAS of lifetime cannabis use (ever vs. never) using blood-based DNAm data from a case-cohort study within Sister Study, a prospective cohort of women at risk of developing breast cancer (Discovery N = 1,730 [855 ever users]; Replication N = 853 [392 ever users]). We identified and replicated an association with lifetime cannabis use at cg15973234 (CEMIP): combined p = 3.3 × 10(-8) . We found no overlap between published blood-based cis-meQTLs of cg15973234 and reported lifetime cannabis use-associated single nucleotide polymorphism (SNPs; p < .05), suggesting that the observed DNAm difference was driven by cannabis exposure. We also developed a multi-CpG classifier of lifetime cannabis use using penalized regression of top EWAS CpGs. The resulting 50-CpG classifier produced an area under the curve (AUC) = 0.74 (95% CI [0.72, 0.76], p = 2.00 × 10(-5) ) in the discovery sample and AUC = 0.54 ([0.51, 0.57], p = 2.87 × 10(-2) ) in the replication sample. Our EWAS findings provide evidence that blood-based DNAm is associated with lifetime cannabis use.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: PMS,cannabis",10.1002/ajmg.b.32813,"Adult;Aged;Cannabis/*chemistry;Case-Control Studies;*DNA Methylation;*Epigenesis, Genetic;*Epigenome;Female;*Genetic Markers;*Genome-Wide Association Study;Humans;Middle Aged;Polymorphism, Single Nucleotide;Prospective Studies;Substance-Related Disorders/blood/*genetics/pathology;DNA (Cytosine-5-)-Methyltransferase;Cannabis;DNA, B-Form;DNA, A-Form;Methylation;DNA",32803843,PMC8296847
rayyan-1000417272,Ambient temperature and genome-wide DNA methylation: A twin and family study in Australia.,2021,9,15,"Environmental pollution (Barking, Essex : 1987)",1873-6424 (Electronic),285,,117700,Xu R and Li S and Li S and Wong EM and Southey MC and Hopper JL and Abramson MJ and Guo Y,https://pubmed.ncbi.nlm.nih.gov/34380236/,eng,,England,"Little is known about the association between ambient temperature and DNA methylation, which is a potential biological process through which ambient temperature affects health. This study aimed to evaluate the association between ambient temperature and DNA methylation across human genome. We included 479 Australian women, including 132 twin pairs and 215 sisters of these twins. Blood-derived DNA methylation was measured using the HumanMethylation450 BeadChip array. Data on average ambient temperature during eight different exposure windows [lag0d (the blood draw day), lag0-7d (the current day and previous seven days prior to blood draw), lag0-14d, lag0-21d, lag0-28d, lag0-90d, lag0-180d, and lag0-365d)] was linked to each participant's home address. For each cytosine-guanine dinucleotide (CpG), we evaluated the association between its methylation level and temperature using generalized estimating equations (GEE), adjusting for important covariates. We used comb-p and DMRcate to identify differentially methylated regions (DMRs). We identified 31 CpGs at which blood DNA methylation were significantly associated with ambient temperature with false discovery rate [FDR] < 0.05. There were 82 significant DMRs identified by both comb-p (Sidak p-value < 0.01) and DMRcate (FDR < 0.01). Most of these CpGs and DMRs only showed association with temperature during one specific exposure window. These CpGs and DMRs were mapped to 85 genes. These related genes have been related to many human chronic diseases or phenotypes (e.g., diabetes, arthritis, breast cancer, depression, asthma, body height) in previous studies. The signals of short-term windows (lag0d and lag0-21d) showed enrichment in biological processes related to cell adhesion. In conclusion, short-, medium-, and long-term exposures to ambient temperature were all associated with blood DNA methylation, but the target genomic loci varied by exposure window. These differential methylation signals may serve as potential biomarkers to understand the health impacts of temperature.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: ambient temperature",10.1016/j.envpol.2021.117700,"Australia;*DNA;*DNA Methylation;Epigenesis, Genetic;Female;Humans;Temperature;DNA (Cytosine-5-)-Methyltransferase;Genomics;Twins;Genome",34380236,
rayyan-1000417284,Genome-wide DNA methylation and long-term ambient air pollution exposure in Korean adults.,2019,2,28,Clinical epigenetics,1868-7083 (Electronic),11,1,37,Lee MK and Xu CJ and Carnes MU and Nichols CE and Ward JM and Kwon SO and Kim SY and Kim WJ and London SJ,https://pubmed.ncbi.nlm.nih.gov/30819252/,eng,,Germany,"BACKGROUND: Ambient air pollution is associated with numerous adverse health outcomes, but the underlying mechanisms are not well understood; epigenetic effects including altered DNA methylation could play a role. To evaluate associations of long-term air pollution exposure with DNA methylation in blood, we conducted an epigenome-wide association study in a Korean chronic obstructive pulmonary disease cohort (N = 100 including 60 cases) using Illumina's Infinium HumanMethylation450K Beadchip. Annual average concentrations of particulate matter ≤ 10 μm in diameter (PM(10)) and nitrogen dioxide (NO(2)) were estimated at participants' residential addresses using exposure prediction models. We used robust linear regression to identify differentially methylated probes (DMPs) and two different approaches, DMRcate and comb-p, to identify differentially methylated regions (DMRs). RESULTS: After multiple testing correction (false discovery rate < 0.05), there were 12 DMPs and 27 DMRs associated with PM(10) and 45 DMPs and 57 DMRs related to NO(2). DMP cg06992688 (OTUB2) and several DMRs were associated with both exposures. Eleven DMPs in relation to NO(2) confirmed previous findings in Europeans; the remainder were novel. Methylation levels of 39 DMPs were associated with expression levels of nearby genes in a separate dataset of 3075 individuals. Enriched networks were related to outcomes associated with air pollution including cardiovascular and respiratory diseases as well as inflammatory and immune responses. CONCLUSIONS: This study provides evidence that long-term ambient air pollution exposure impacts DNA methylation. The differential methylation signals can serve as potential air pollution biomarkers. These results may help better understand the influences of ambient air pollution on human health.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: air pollution",10.1186/s13148-019-0635-z,"Aged;Aged, 80 and over;Air Pollution/adverse effects/*analysis;Cohort Studies;*DNA Methylation/drug effects;Epigenesis, Genetic;Female;Gene Expression Regulation;Humans;Male;Nitrogen Dioxide/adverse effects/analysis;Particulate Matter/analysis;Pulmonary Disease, Chronic Obstructive/chemically induced/*genetics;Republic of Korea;Whole Genome Sequencing/*methods;DNA (Cytosine-5-)-Methyltransferase;Genome;Genomics;Methylation",30819252,PMC6396524
rayyan-1000417286,Longitudinal analysis of epigenome-wide DNA methylation reveals novel smoking-related loci in African Americans.,2019,2,,Epigenetics,1559-2308 (Electronic),14,2,171-184,Liu J and Zhao W and Ammous F and Turner ST and Mosley TH and Zhou X and Smith JA,https://pubmed.ncbi.nlm.nih.gov/30764717/,eng,,United States,"Changes in DNA methylation may be a potential mechanism that mediates the effects of smoking on physiological function and subsequent disease risk. Given the dynamic nature of the epigenome, longitudinal studies are indispensable for investigating smoking-induced methylation changes over time. Using blood samples collected approximately five years apart in 380 African Americans (mean age 60.7 years) from the Genetic Epidemiology Network of Arteriopathy (GENOA) study, we measured DNA methylation levels using Illumina HumanMethylation BeadChips. We evaluated the association between Phase 1 smoking status and rate of methylation change, using generalized estimating equation models. Among the 6958 CpG sites examined, smoking status was associated with methylation change for 22 CpGs (false discovery rate q < 0.1), with the majority (91%) becoming less methylated over time. Methylation change was greater in ever smokers than never smokers, and the absolute differences in rates of change ranged from 0.18 to 0.77 per decade in M value, equivalent to a β value change of 0.013 to 0.047 per decade. Significant enrichment was observed for CpG islands, enhancers, and DNAse hypersensitivity sites (p < 0.05). Although biological pathway analyses were not significant, most of the 22 CpGs were within genes known to be associated with cardiovascular disease, cancers, and aging. In conclusion, we identified epigenetic signatures for cigarette smoking that may have been missed in cross-sectional analyses, providing insight into the epigenetic effect of smoking and highlighting the importance of longitudinal analysis in understanding the dynamic human epigenome.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: smoking",10.1080/15592294.2019.1581589,"Adult;Black or African American/*genetics;Aged;Aged, 80 and over;Cigarette Smoking/*genetics;CpG Islands;Cross-Sectional Studies;*DNA Methylation;Epigenomics/*methods;Female;Genetic Association Studies;Genetic Loci;Humans;Longitudinal Studies;Male;Middle Aged;DNA (Cytosine-5-)-Methyltransferase;Smoke;DNA, B-Form;DNA, A-Form;Methylation;African Americans;DNA",30764717,PMC6557606
rayyan-1000417344,Smoking and blood DNA methylation: an epigenome-wide association study and assessment of reversibility.,2020,4,,Epigenetics,1559-2308 (Electronic),15,4,358-368,Dugué PA and Jung CH and Joo JE and Wang X and Wong EM and Makalic E and Schmidt DF and Baglietto L and Severi G and Southey MC and English DR and Giles GG and Milne RL,https://pubmed.ncbi.nlm.nih.gov/31552803/,eng,,United States,"We conducted a genome-wide association study of blood DNA methylation and smoking, attempted replication of previously discovered associations, and assessed the reversibility of smoking-associated methylation changes. DNA methylation was measured in baseline peripheral blood samples for 5,044 participants in the Melbourne Collaborative Cohort Study. For 1,032 participants, these measures were repeated using blood samples collected at follow-up, a median of 11 years later. A cross-sectional analysis of the association between smoking and DNA methylation and a longitudinal analysis of changes in smoking status and changes in DNA methylation were conducted. We used our cross-sectional analysis to replicate previously reported associations for current (N = 3,327) and former (N = 172) smoking. A comprehensive smoking index accounting for the biological half-life of smoking compounds and several aspects of smoking history was constructed to assess the reversibility of smoking-induced methylation changes. This measure of lifetime exposure to smoking allowed us to detect more associations than comparing current with never smokers. We identified 4,496 cross-sectional associations at P < 10(-7), including 3,296 annotated to 1,326 genes that were not previously implicated in smoking-associated DNA methylation changes at this significance threshold. We replicated the majority of previously reported associations (P < 10(-7)) for current and former smokers. In our data, we observed for former smokers a substantial degree of return to the methylation levels of never smokers, compared with current smokers (median: 74%, IQR = 63-86%), corresponding to small values (median: 2.75, IQR = 1.5-5.25) for the half-life parameter of the comprehensive smoking index. Longitudinal analyses identified 368 sites at which methylation changed upon smoking cessation. Our study demonstrates the usefulness of the comprehensive smoking index to detect associations between smoking and DNA methylation at CpGs across the genome, replicates the vast majority of previously reported associations, and quantifies the reversibility of smoking-induced methylation changes.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: smoking",10.1080/15592294.2019.1668739,Adult;Aged;CpG Islands;DNA/blood/genetics;*DNA Methylation;*Epigenome;Female;Genome-Wide Association Study;Humans;Male;Middle Aged;Smoking/epidemiology/*genetics;DNA (Cytosine-5-)-Methyltransferase;Smoke;Methylation,31552803,PMC7153547
rayyan-1000417351,Epigenome-wide association study of diet quality in the Women's Health Initiative and TwinsUK cohort.,2021,5,17,International journal of epidemiology,1464-3685 (Electronic),50,2,675-684,Do WL and Whitsel EA and Costeira R and Masachs OM and Le Roy CI and Bell JT and Staimez LR and Stein AD and Smith AK and Horvath S and Assimes TL and Liu S and Manson JE and Shadyab AH and Li Y and Hou L and Bhatti P and Jordahl K and Narayan KMV and Conneely KN,https://pubmed.ncbi.nlm.nih.gov/33354722/,eng,,England,"BACKGROUND: Diet quality is a risk factor for chronic disease and mortality. Differential DNA methylation across the epigenome has been associated with chronic disease risk. Whether diet quality is associated with differential methylation is unknown. This study assessed whether diet quality was associated with differential DNA methylation measured across 445 548 loci in the Women's Health Initiative (WHI) and the TwinsUK cohort. DESIGN: The discovery cohort consisted of 4355 women from the WHI. The replication cohort consisted of 571 mono- and dizygotic twins from the TwinsUK cohort. DNA methylation was measured in whole blood using the Illumina Infinium HumanMethylation450 Beadchip. Diet quality was assessed using the Alternative Healthy Eating Index 2010 (AHEI-2010). A meta-analysis, stratified by study cohort, was performed using generalized linear models that regressed methylation on AHEI-2010, adjusting for cell composition, chip number and location, study characteristics, principal components of genetic relatedness, age, smoking status, race/ethnicity and body mass index (BMI). Statistical significance was defined as a false discovery rate < 0.05. Significant sites were tested for replication in the TwinsUK cohort, with significant replication defined by P < 0.05 and a consistent direction. RESULTS: Diet quality was significantly associated with differential DNA methylation at 428 cytosine-phosphate-guanine (CpG) sites in the discovery cohort. A total of 24 CpG sites were consistent with replication in the TwinsUK cohort, more than would be expected by chance (P = 2.7x10-4), with one site replicated in both the blood and adipose tissue (cg16379999 located in the body of SEL1L). CONCLUSIONS: Diet quality was associated with methylation at 24 CpG sites, several of which have been associated with adiposity, inflammation and dysglycaemia. These findings may provide insight into pathways through which diet influences chronic disease.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: Diet,Meta-analysis",10.1093/ije/dyaa215,"CpG Islands/genetics;DNA Methylation;Diet;*Epigenesis, Genetic;*Epigenome;Female;Genome-Wide Association Study;Humans;Proteins;Women's Health",33354722,PMC8128469
