key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-1000417228,Pulmonary Function and Blood DNA Methylation: A Multiancestry Epigenome-Wide Association Meta-analysis.,2022,8,1,American journal of respiratory and critical care medicine,1535-4970 (Electronic),206,3,321-336,Lee M and Huan T and McCartney DL and Chittoor G and de Vries M and Lahousse L and Nguyen JN and Brody JA and Castillo-Fernandez J and Terzikhan N and Qi C and Joehanes R and Min JL and Smilnak GJ and Shaw JR and Yang CX and Colicino E and Hoang TT and Bermingham ML and Xu H and Justice AE and Xu CJ and Rich SS and Cox SR and Vonk JM and Prokić I and Sotoodehnia N and Tsai PC and Schwartz JD and Leung JM and Sikdar S and Walker RM and Harris SE and van der Plaat DA and Van Den Berg DJ and Bartz TM and Spector TD and Vokonas PS and Marioni RE and Taylor AM and Liu Y and Barr RG and Lange LA and Baccarelli AA and Obeidat M and Fornage M and Wang T and Ward JM and Motsinger-Reif AA and Hemani G and Koppelman GH and Bell JT and Gharib SA and Brusselle G and Boezen HM and North KE and Levy D and Evans KL and Dupuis J and Breeze CE and Manichaikul A and London SJ,https://pubmed.ncbi.nlm.nih.gov/35536696/,eng,,United States,"Rationale: Methylation integrates factors present at birth and modifiable across the lifespan that can influence pulmonary function. Studies are limited in scope and replication. Objectives: To conduct large-scale epigenome-wide meta-analyses of blood DNA methylation and pulmonary function. Methods: Twelve cohorts analyzed associations of methylation at cytosine-phosphate-guanine probes (CpGs), using Illumina 450K or EPIC/850K arrays, with FEV(1), FVC, and FEV(1)/FVC. We performed multiancestry epigenome-wide meta-analyses (total of 17,503 individuals; 14,761 European, 2,549 African, and 193 Hispanic/Latino ancestries) and interpreted results using integrative epigenomics. Measurements and Main Results: We identified 1,267 CpGs (1,042 genes) differentially methylated (false discovery rate, <0.025) in relation to FEV(1), FVC, or FEV(1)/FVC, including 1,240 novel and 73 also related to chronic obstructive pulmonary disease (1,787 cases). We found 294 CpGs unique to European or African ancestry and 395 CpGs unique to never or ever smokers. The majority of significant CpGs correlated with nearby gene expression in blood. Findings were enriched in key regulatory elements for gene function, including accessible chromatin elements, in both blood and lung. Sixty-nine implicated genes are targets of investigational or approved drugs. One example novel gene highlighted by integrative epigenomic and druggable target analysis is TNFRSF4. Mendelian randomization and colocalization analyses suggest that epigenome-wide association study signals capture causal regulatory genomic loci. Conclusions: We identified numerous novel loci differentially methylated in relation to pulmonary function; few were detected in large genome-wide association studies. Integrative analyses highlight functional relevance and potential therapeutic targets. This comprehensive discovery of potentially modifiable, novel lung function loci expands knowledge gained from genetic studies, providing insights into lung pathogenesis.","RAYYAN-INCLUSION: {""Jari""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: No environmental factor",10.1164/rccm.202108-1907OC,"CpG Islands;*DNA Methylation/genetics;Epigenesis, Genetic/genetics;*Epigenome;Epigenomics;Genome-Wide Association Study;Humans;Infant, Newborn;Lung;DNA (Cytosine-5-)-Methyltransferase;DNA, B-Form;DNA, A-Form;DNA-(Apurinic or Apyrimidinic Site) Lyase;Methylation",35536696,PMC9890261
rayyan-1000417232,"Genome-wide study of DNA methylation shows alterations in metabolic, inflammatory, and cholesterol pathways in ALS.",2022,2,23,Science translational medicine,1946-6242 (Electronic),14,633,eabj0264,Hop PJ and Zwamborn RAJ and Hannon E and Shireby GL and Nabais MF and Walker EM and van Rheenen W and van Vugt JJFA and Dekker AM and Westeneng HJ and Tazelaar GHP and van Eijk KR and Moisse M and Baird D and Al Khleifat A and Iacoangeli A and Ticozzi N and Ratti A and Cooper-Knock J and Morrison KE and Shaw PJ and Basak AN and Chiò A and Calvo A and Moglia C and Canosa A and Brunetti M and Grassano M and Gotkine M and Lerner Y and Zabari M and Vourc'h P and Corcia P and Couratier P and Mora Pardina JS and Salas T and Dion P and Ross JP and Henderson RD and Mathers S and McCombe PA and Needham M and Nicholson G and Rowe DB and Pamphlett R and Mather KA and Sachdev PS and Furlong S and Garton FC and Henders AK and Lin T and Ngo ST and Steyn FJ and Wallace L and Williams KL and Neto MM and Cauchi RJ and Blair IP and Kiernan MC and Drory V and Povedano M and de Carvalho M and Pinto S and Weber M and Rouleau GA and Silani V and Landers JE and Shaw CE and Andersen PM and McRae AF and van Es MA and Pasterkamp RJ and Wray NR and McLaughlin RL and Hardiman O and Kenna KP and Tsai E and Runz H and Al-Chalabi A and van den Berg LH and Van Damme P and Mill J and Veldink JH,https://pubmed.ncbi.nlm.nih.gov/35196023/,eng,,United States,"Amyotrophic lateral sclerosis (ALS) is a fatal neurodegenerative disease with an estimated heritability between 40 and 50%. DNA methylation patterns can serve as proxies of (past) exposures and disease progression, as well as providing a potential mechanism that mediates genetic or environmental risk. Here, we present a blood-based epigenome-wide association study meta-analysis in 9706 samples passing stringent quality control (6763 patients, 2943 controls). We identified a total of 45 differentially methylated positions (DMPs) annotated to 42 genes, which are enriched for pathways and traits related to metabolism, cholesterol biosynthesis, and immunity. We then tested 39 DNA methylation-based proxies of putative ALS risk factors and found that high-density lipoprotein cholesterol, body mass index, white blood cell proportions, and alcohol intake were independently associated with ALS. Integration of these results with our latest genome-wide association study showed that cholesterol biosynthesis was potentially causally related to ALS. Last, DNA methylation at several DMPs and blood cell proportion estimates derived from DNA methylation data were associated with survival rate in patients, suggesting that they might represent indicators of underlying disease processes potentially amenable to therapeutic interventions.","RAYYAN-INCLUSION: {""Jari""=>""Excluded""} | RAYYAN-LABELS: PMS | RAYYAN-EXCLUSION-REASONS: No environmental factor",10.1126/scitranslmed.abj0264,"*Amyotrophic Lateral Sclerosis/genetics;Cholesterol;DNA Methylation/genetics;Epigenesis, Genetic;Genome-Wide Association Study;Humans;*Neurodegenerative Diseases/genetics;DNA (Cytosine-5-)-Methyltransferase;Genome;Genomics;DNA, B-Form;DNA, A-Form;Methylation;Amyotrophic Lateral Sclerosis;DNA",35196023,PMC10040186
rayyan-1000417233,DNA methylation signature of chronic low-grade inflammation and its role in cardio-respiratory diseases.,2022,5,3,Nature communications,2041-1723 (Electronic),13,1,2408,Wielscher M and Mandaviya PR and Kuehnel B and Joehanes R and Mustafa R and Robinson O and Zhang Y and Bodinier B and Walton E and Mishra PP and Schlosser P and Wilson R and Tsai PC and Palaniswamy S and Marioni RE and Fiorito G and Cugliari G and Karhunen V and Ghanbari M and Psaty BM and Loh M and Bis JC and Lehne B and Sotoodehnia N and Deary IJ and Chadeau-Hyam M and Brody JA and Cardona A and Selvin E and Smith AK and Miller AH and Torres MA and Marouli E and Gào X and van Meurs JBJ and Graf-Schindler J and Rathmann W and Koenig W and Peters A and Weninger W and Farlik M and Zhang T and Chen W and Xia Y and Teumer A and Nauck M and Grabe HJ and Doerr M and Lehtimäki T and Guan W and Milani L and Tanaka T and Fisher K and Waite LL and Kasela S and Vineis P and Verweij N and van der Harst P and Iacoviello L and Sacerdote C and Panico S and Krogh V and Tumino R and Tzala E and Matullo G and Hurme MA and Raitakari OT and Colicino E and Baccarelli AA and Kähönen M and Herzig KH and Li S and Conneely KN and Kooner JS and Köttgen A and Heijmans BT and Deloukas P and Relton C and Ong KK and Bell JT and Boerwinkle E and Elliott P and Brenner H and Beekman M and Levy D and Waldenberger M and Chambers JC and Dehghan A and Järvelin MR,https://pubmed.ncbi.nlm.nih.gov/35504910/,eng,,England,"We performed a multi-ethnic Epigenome Wide Association study on 22,774 individuals to describe the DNA methylation signature of chronic low-grade inflammation as measured by C-Reactive protein (CRP). We find 1,511 independent differentially methylated loci associated with CRP. These CpG sites show correlation structures across chromosomes, and are primarily situated in euchromatin, depleted in CpG islands. These genomic loci are predominantly situated in transcription factor binding sites and genomic enhancer regions. Mendelian randomization analysis suggests altered CpG methylation is a consequence of increased blood CRP levels. Mediation analysis reveals obesity and smoking as important underlying driving factors for changed CpG methylation. Finally, we find that an activated CpG signature significantly increases the risk for cardiometabolic diseases and COPD.","RAYYAN-INCLUSION: {""Jari""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: No environmental factor",10.1038/s41467-022-29792-6,C-Reactive Protein/genetics;CpG Islands/genetics;*DNA Methylation/genetics;Humans;*Inflammation/genetics;Nucleotide Motifs;DNA (Cytosine-5-)-Methyltransferase;DNA-(Apurinic or Apyrimidinic Site) Lyase;Inflammation;DNA;Methylation;DNA Methylation,35504910,PMC9065016
rayyan-1000417237,DYSF promotes monocyte activation in atherosclerotic cardiovascular disease as a DNA methylation-driven gene.,2022,9,,Translational research : the journal of laboratory and clinical medicine,1878-1810 (Electronic),247,,19-38,Zhang X and He D and Xiang Y and Wang C and Liang B and Li B and Qi D and Deng Q and Yu H and Lu Z and Zheng F,https://pubmed.ncbi.nlm.nih.gov/35460889/,eng,,United States,"Dysferlin (DYSF) has drawn much attention due to its involvement in dysferlinopathy and was reported to affect monocyte functions in recent studies. However, the role of DYSF in the pathogenesis of atherosclerotic cardiovascular diseases (ASCVD) and the regulation mechanism of DYSF expression have not been fully studied. In this study, Gene Expression Omnibus (GEO) database and epigenome-wide association study (EWAS) literatures were searched to find the DNA methylation-driven genes (including DYSF) of ASCVD. The hub genes related to DYSF were also identified through weighted correlation network analysis (WGCNA). Regulation of DYSF expression through its promoter methylation status was verified using peripheral blood leucocytes (PBLs) from ASCVD patients and normal controls, and experiments on THP1 cells and Apoe(-/-) mice. Similarly, the expressions of DYSF related hub genes, mainly contained SELL, STAT3 and TMX1, were also validated. DYSF functions were then evaluated by phagocytosis, transwell and adhesion assays in DYSF knock-down and overexpressed THP1 cells. The results showed that DYSF promoter hypermethylation up-regulated its expression in clinical samples, THP1 cells and Apoe(-/-) mice, confirming DYSF as a DNA methylation-driven gene. The combination of DYSF expression and methylation status in PBLs had a considerable prediction value for ASCVD. Besides, DYSF could enhance the phagocytosis, migration and adhesion ability of THP1 cells. Among DYSF related hub genes, SELL was proven to be the downstream target of DYSF by wet experiments. In conclusion, DYSF promoter hypermethylation upregulated its expression and promoted monocytes activation, which further participated in the pathogenesis of ASCVD.","RAYYAN-INCLUSION: {""Jari""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: No EWAS,No environmental factor",10.1016/j.trsl.2022.04.001,Animals;Apolipoproteins E/metabolism;*Atherosclerosis/genetics/metabolism;*Cardiovascular Diseases/metabolism;*DNA Methylation;*Dysferlin/genetics/metabolism;Humans;Mice;Monocytes/metabolism;Monocytes;DNA (Cytosine-5-)-Methyltransferase;Cardiovascular Diseases,35460889,
rayyan-1000417238,Epigenetic and integrative cross-omics analyses of cerebral white matter hyperintensities on MRI.,2023,2,13,Brain : a journal of neurology,1460-2156 (Electronic),146,2,492-506,Yang Y and Knol MJ and Wang R and Mishra A and Liu D and Luciano M and Teumer A and Armstrong N and Bis JC and Jhun MA and Li S and Adams HHH and Aziz NA and Bastin ME and Bourgey M and Brody JA and Frenzel S and Gottesman RF and Hosten N and Hou L and Kardia SLR and Lohner V and Marquis P and Maniega SM and Satizabal CL and Sorond FA and Valdés Hernández MC and van Duijn CM and Vernooij MW and Wittfeld K and Yang Q and Zhao W and Boerwinkle E and Levy D and Deary IJ and Jiang J and Mather KA and Mosley TH and Psaty BM and Sachdev PS and Smith JA and Sotoodehnia N and DeCarli CS and Breteler MMB and Ikram MA and Grabe HJ and Wardlaw J and Longstreth WT and Launer LJ and Seshadri S and Debette S and Fornage M,https://pubmed.ncbi.nlm.nih.gov/35943854/,eng,,England,"Cerebral white matter hyperintensities on MRI are markers of cerebral small vessel disease, a major risk factor for dementia and stroke. Despite the successful identification of multiple genetic variants associated with this highly heritable condition, its genetic architecture remains incompletely understood. More specifically, the role of DNA methylation has received little attention. We investigated the association between white matter hyperintensity burden and DNA methylation in blood at ∼450 000 cytosine-phosphate-guanine (CpG) sites in 9732 middle-aged to older adults from 14 community-based studies. Single CpG and region-based association analyses were carried out. Functional annotation and integrative cross-omics analyses were performed to identify novel genes underlying the relationship between DNA methylation and white matter hyperintensities. We identified 12 single CpG and 46 region-based DNA methylation associations with white matter hyperintensity burden. Our top discovery single CpG, cg24202936 (P = 7.6 × 10-8), was associated with F2 expression in blood (P = 6.4 × 10-5) and co-localized with FOLH1 expression in brain (posterior probability = 0.75). Our top differentially methylated regions were in PRMT1 and in CCDC144NL-AS1, which were also represented in single CpG associations (cg17417856 and cg06809326, respectively). Through Mendelian randomization analyses cg06809326 was putatively associated with white matter hyperintensity burden (P = 0.03) and expression of CCDC144NL-AS1 possibly mediated this association. Differentially methylated region analysis, joint epigenetic association analysis and multi-omics co-localization analysis consistently identified a role of DNA methylation near SH3PXD2A, a locus previously identified in genome-wide association studies of white matter hyperintensities. Gene set enrichment analyses revealed functions of the identified DNA methylation loci in the blood-brain barrier and in the immune response. Integrative cross-omics analysis identified 19 key regulatory genes in two networks related to extracellular matrix organization, and lipid and lipoprotein metabolism. A drug-repositioning analysis indicated antihyperlipidaemic agents, more specifically peroxisome proliferator-activated receptor-alpha, as possible target drugs for white matter hyperintensities. Our epigenome-wide association study and integrative cross-omics analyses implicate novel genes influencing white matter hyperintensity burden, which converged on pathways related to the immune response and to a compromised blood-brain barrier possibly due to disrupted cell-cell and cell-extracellular matrix interactions. The results also suggest that antihyperlipidaemic therapy may contribute to lowering risk for white matter hyperintensities possibly through protection against blood-brain barrier disruption.","RAYYAN-INCLUSION: {""Jari""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: No environmental factor",10.1093/brain/awac290,"Middle Aged;Humans;Aged;*White Matter/diagnostic imaging;Genome-Wide Association Study/methods;Brain/diagnostic imaging;DNA Methylation/genetics;Magnetic Resonance Imaging;Epigenesis, Genetic;Protein-Arginine N-Methyltransferases;Repressor Proteins;European Continental Ancestry Group;Epigenomics",35943854,PMC9924914
rayyan-1000417242,Longitudinal associations of DNA methylation and sleep in children: a meta-analysis.,2022,7,5,Clinical epigenetics,1868-7083 (Electronic),14,1,83,Sammallahti S and Koopman-Verhoeff ME and Binter AC and Mulder RH and Cabré-Riera A and Kvist T and Malmberg ALK and Pesce G and Plancoulaine S and Heiss JA and Rifas-Shiman SL and Röder SW and Starling AP and Wilson R and Guerlich K and Haftorn KL and Page CM and Luik AI and Tiemeier H and Felix JF and Raikkonen K and Lahti J and Relton CL and Sharp GC and Waldenberger M and Grote V and Heude B and Annesi-Maesano I and Hivert MF and Zenclussen AC and Herberth G and Dabelea D and Grazuleviciene R and Vafeiadi M and Håberg SE and London SJ and Guxens M and Richmond RC and Cecil CAM,https://pubmed.ncbi.nlm.nih.gov/35790973/,eng,,Germany,"BACKGROUND: Sleep is important for healthy functioning in children. Numerous genetic and environmental factors, from conception onwards, may influence this phenotype. Epigenetic mechanisms such as DNA methylation have been proposed to underlie variation in sleep or may be an early-life marker of sleep disturbances. We examined if DNA methylation at birth or in school age is associated with parent-reported and actigraphy-estimated sleep outcomes in children. METHODS: We meta-analysed epigenome-wide association study results. DNA methylation was measured from cord blood at birth in 11 cohorts and from peripheral blood in children (4-13 years) in 8 cohorts. Outcomes included parent-reported sleep duration, sleep initiation and fragmentation problems, and actigraphy-estimated sleep duration, sleep onset latency and wake-after-sleep-onset duration. RESULTS: We found no associations between DNA methylation at birth and parent-reported sleep duration (n = 3658), initiation problems (n = 2504), or fragmentation (n = 1681) (p values above cut-off 4.0 × 10(-8)). Lower methylation at cg24815001 and cg02753354 at birth was associated with longer actigraphy-estimated sleep duration (p = 3.31 × 10(-8), n = 577) and sleep onset latency (p = 8.8 × 10(-9), n = 580), respectively. DNA methylation in childhood was not cross-sectionally associated with any sleep outcomes (n = 716-2539). CONCLUSION: DNA methylation, at birth or in childhood, was not associated with parent-reported sleep. Associations observed with objectively measured sleep outcomes could be studied further if additional data sets become available.","RAYYAN-INCLUSION: {""Jari""=>""Excluded""} | RAYYAN-LABELS: sleep,Meta-analysis | RAYYAN-EXCLUSION-REASONS: Not updated environmental exposure",10.1186/s13148-022-01298-4,"*DNA Methylation;Epigenesis, Genetic;Epigenome;Humans;Sleep/genetics;*Sleep Wake Disorders/genetics;DNA (Cytosine-5-)-Methyltransferase;Only Child;DNA, B-Form;DNA, A-Form;DNA-(Apurinic or Apyrimidinic Site) Lyase;Methylation;Child",35790973,PMC9258202
rayyan-1000417243,Methylome-wide association study of early life stressors and adult mental health.,2022,2,21,Human molecular genetics,1460-2083 (Electronic),31,4,651-664,Howard DM and Pain O and Arathimos R and Barbu MC and Amador C and Walker RM and Jermy B and Adams MJ and Deary IJ and Porteous D and Campbell A and Sullivan PF and Evans KL and Arseneault L and Wray NR and Meaney M and McIntosh AM and Lewis CM,https://pubmed.ncbi.nlm.nih.gov/34523677/,eng,,England,"The environment and events that we are exposed to in utero, during birth and in early childhood influence our future physical and mental health. The underlying mechanisms that lead to these outcomes are unclear, but long-term changes in epigenetic marks, such as DNA methylation, could act as a mediating factor or biomarker. DNA methylation data were assayed at 713 522 CpG sites from 9537 participants of the Generation Scotland: Scottish Family Health Study, a family-based cohort with extensive genetic, medical, family history and lifestyle information. Methylome-wide association studies of eight early life environment phenotypes and two adult mental health phenotypes (major depressive disorder and brief resilience scale) were conducted using DNA methylation data collected from adult whole blood samples. Two genes involved with different developmental pathways (PRICKLE2, Prickle Planar Cell Polarity Protein 2 and ABI1, Abl-Interactor-1) were annotated to CpG sites associated with preterm birth (P < 1.27 × 10-9). A further two genes important to the development of sensory pathways (SOBP, Sine Oculis Binding Protein Homolog and RPGRIP1, Retinitis Pigmentosa GTPase Regulator Interacting Protein) were annotated to sites associated with low birth weight (P < 4.35 × 10-8). The examination of methylation profile scores and genes and gene-sets annotated from associated CpGs sites found no evidence of overlap between the early life environment and mental health conditions. Birth date was associated with a significant difference in estimated lymphocyte and neutrophil counts. Previous studies have shown that early life environments influence the risk of developing mental health disorders later in life; however, this study found no evidence that this is mediated by stable changes to the methylome detectable in peripheral blood.","RAYYAN-INCLUSION: {""Jari""=>""Excluded""} | RAYYAN-LABELS: PMS,early life stressors | RAYYAN-EXCLUSION-REASONS: Not updated environmental exposure",10.1093/hmg/ddab274,"Adaptor Proteins, Signal Transducing;Child, Preschool;CpG Islands/genetics;Cytoskeletal Proteins;DNA Methylation/genetics;*Depressive Disorder, Major;Epigenesis, Genetic;Epigenome;Female;Humans;Infant, Newborn;Mental Health;Pregnancy;*Premature Birth",34523677,PMC8863421
rayyan-1000417244,Methylome-wide Association Study of Patients with Recent-onset Psychosis.,2022,8,31,Clinical psychopharmacology and neuroscience : the official scientific journal of           the Korean College of Neuropsychopharmacology,1738-1088 (Print),20,3,462-473,Piao YH and Cui Y and Rami FZ and Li L and Karamikheirabad M and Kang SH and Kim SW and Kim JJ and Lee BJ and Chung YC,https://pubmed.ncbi.nlm.nih.gov/35879030/,eng,,Korea (South),"OBJECTIVE: Dysregulation of gene expression through epigenetic mechanisms may have a vital role in the pathogenesis of schizophrenia (SZ). In this study, we investigated the association of altered methylation patterns with SZ symptoms and early trauma in patients and healthy controls. METHODS: The present study was conducted to identify methylation changes in CpG sites in peripheral blood associated with recent-onset (RO) psychosis using methylome-wide analysis. Lifestyle factors, such as smoking, alcohol, exercise, and diet, were controlled. RESULTS: We identified 2,912 differentially methylated CpG sites in patients with RO psychosis compared to controls. Most of the genes associated with the top 20 differentially methylated sites had not been reported in previous methylation studies and were involved in apoptosis, autophagy, axonal growth, neuroinflammation, protein folding, etc. The top 15 significantly enriched Kyoto Encyclopedia of Genes and Genomes pathways included the oxytocin signaling pathway, long-term depression pathway, axon guidance, endometrial cancer, long-term potentiation, mitogen-activated protein kinase signaling pathway, and glutamatergic pathway, among others. In the patient group, significant associations of novel methylated genes with early trauma and psychopathology were observed. CONCLUSION: Our results suggest an association of differential DNA methylation with the pathophysiology of psychosis and early trauma. Blood DNA methylation signatures show promise as biomarkers of future psychosis.","RAYYAN-INCLUSION: {""Jari""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: No environmental factor",10.9758/cpn.2022.20.3.462,Psychotic Disorders,35879030,PMC9329103
rayyan-1000417246,Residential greenness-related DNA methylation changes.,2022,1,,Environment international,1873-6750 (Electronic),158,,106945,Jeong A and Eze IC and Vienneau D and de Hoogh K and Keidel D and Rothe T and Burdet L and Holloway JW and Jarvis D and Kronenberg F and Lovison G and Imboden M and Probst-Hensch N,https://pubmed.ncbi.nlm.nih.gov/34689037/,eng,,Netherlands,"BACKGROUND: Residential greenness has been associated with health benefits, but its biological mechanism is largely unknown. Investigation of greenness-related DNA methylation profiles can contribute to mechanistic understanding of the health benefits of residential greenness. OBJECTIVE: To identify DNA methylation profiles associated with greenness in the immediate surroundings of the residence. METHODS: We analyzed genome-wide DNA methylation in 1938 blood samples (982 participants) from the Swiss Cohort Study on Air Pollution and Lung and Heart Diseases in Adults (SAPALDIA). We estimated residential greenness based on normalized difference vegetation index at 30 × 30 m cell (green30) and 500 m buffer (green500) around the residential address. We conducted epigenome-wide association study (EWAS) to identify differentially methylated CpGs and regions, and enrichment tests by comparing to the CpGs that previous EWAS identified as associated with allergy, physical activity, and allostatic load-relevant biomarkers. RESULTS: We identified no genome-wide significant CpGs, but 163 and 56 differentially methylated regions for green30 and green500, respectively. Green30-related DNA methylation profiles showed enrichments in allergy, physical activity, and allostatic load, while green500-related methylation was enriched in allergy and allostatic load. CONCLUSIONS: Residential greenness may have health impacts through allergic sensitization, stress coping, or behavioral changes. Exposure to more proximal greenness may be more health-relevant.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: greeness",10.1016/j.envint.2021.106945,"*Air Pollution;Cohort Studies;DNA;*DNA Methylation;Epigenome;Humans;DNA (Cytosine-5-)-Methyltransferase;DNA-(Apurinic or Apyrimidinic Site) Lyase;DNA, B-Form;DNA, A-Form;Methylation",34689037,
rayyan-1000417247,Temporal associations between leukocytes DNA methylation and blood lipids: a longitudinal study.,2022,10,23,Clinical epigenetics,1868-7083 (Electronic),14,1,132,Wu Z and Chen L and Hong X and Si J and Cao W and Yu C and Huang T and Sun D and Liao C and Pang Y and Pang Z and Cong L and Wang H and Wu X and Liu Y and Guo Y and Chen Z and Lv J and Gao W and Li L,https://pubmed.ncbi.nlm.nih.gov/36274151/,eng,,Germany,"BACKGROUND: The associations between blood lipids and DNA methylation have been investigated in epigenome-wide association studies mainly among European ancestry populations. Several studies have explored the direction of the association using cross-sectional data, while evidence of longitudinal data is still lacking. RESULTS: We tested the associations between peripheral blood leukocytes DNA methylation and four lipid measures from Illumina 450 K or EPIC arrays in 1084 participants from the Chinese National Twin Registry and replicated the result in 988 participants from the China Kadoorie Biobank. A total of 23 associations of 19 CpG sites were identified, with 4 CpG sites located in or adjacent to 3 genes (TMEM49, SNX5/SNORD17 and CCDC7) being novel. Among the validated associations, we conducted a cross-lagged analysis to explore the temporal sequence and found temporal associations of methylation levels of 2 CpG sites with triglyceride and 2 CpG sites with high-density lipoprotein-cholesterol (HDL-C) in all twins. In addition, methylation levels of cg11024682 located in SREBF1 at baseline were temporally associated with triglyceride at follow-up in only monozygotic twins. We then performed a mediation analysis with the longitudinal data and the result showed that the association between body mass index and HDL-C was partially mediated by the methylation level of cg06500161 (ABCG1), with a mediation proportion of 10.1%. CONCLUSIONS: Our study indicated that the DNA methylation levels of ABCG1, AKAP1 and SREBF1 may be involved in lipid metabolism and provided evidence for elucidating the regulatory mechanism of lipid homeostasis.","RAYYAN-INCLUSION: {""Jari""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: No environmental factor",10.1186/s13148-022-01356-x,"Humans;*DNA Methylation;CpG Islands;*Epigenesis, Genetic;Longitudinal Studies;Cross-Sectional Studies;Lipids;Triglycerides;Leukocytes;Cholesterol;Lipoproteins, HDL;Genome-Wide Association Study;DNA (Cytosine-5-)-Methyltransferase;DNA, A-Form;DNA, B-Form",36274151,PMC9588246
